ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR,WIKIDATA_OPERATOR
68,20,San Blas,https://wikidata.org/wiki/Q2001937,201,Simancas,https://wikidata.org/wiki/Q10371626,CALLE ALCALÁ,510,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Repsol,https://wikidata.org/wiki/Q174747
68,,,,,,,,,,,Dual_Mennekes,,,
69,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,183,Ensanche de Vallecas,https://wikidata.org/wiki/Q3847485,CALLE ALTO DEL RETIRO,S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,Endesa,https://wikidata.org/wiki/Q1275336
69,,,,,,,,,,,Dual_Mennekes,,,
70,20,San Blas,https://wikidata.org/wiki/Q2001937,206,Rejas,https://wikidata.org/wiki/Q10359029,CALLE DEYANIRA,10,APARCAMIENTO,1,CHAdeMO,3,naturgy,https://wikidata.org/wiki/Q474690
70,,,,,,,,,,,Dual_Mennekes,,,
71,20,San Blas,https://wikidata.org/wiki/Q2001937,206,Rejas,https://wikidata.org/wiki/Q10359029,CALLE NANCLARES DE OCA,5,APARCAMIENTO,2,CHAdeMO,3,Iberdrola,https://wikidata.org/wiki/Q1437502
71,,,,,,,,,,,Dual_Mennekes,,,
72,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,AVENIDA EJE CENTRAL,7,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,naturgy,https://wikidata.org/wiki/Q474690
72,,,,,,,,,,,Dual_Mennekes,,,
73,1,Centro,https://wikidata.org/wiki/Q1763376,14,Justicia,https://wikidata.org/wiki/Q1992319,CALLE GÉNOVA,24,VÍA PÚBLICA,1,CHAdeMO,3,GIC,https://wikidata.org/wiki/Q114757945
73,,,,,,,,,,,Dual_Mennekes,,,
74,6,Tetuán,https://wikidata.org/wiki/Q1773540,64,Almenara,https://wikidata.org/wiki/Q2265427,CALLE SAN AQUILINO,1,APARCAMIENTO,2,CHAdeMO,2,Iberdrola,https://wikidata.org/wiki/Q1437502
75,5,Chamartín,https://wikidata.org/wiki/Q1766348,52,Prosperidad,https://wikidata.org/wiki/Q4776,AVENIDA DE AMÉRICA,9,APARCAMIENTO,2,CHAdeMO,2,Iberdrola,https://wikidata.org/wiki/Q1437502
76,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,198,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,APARCAMIENTO ESTE DEL MERCADO CENTRAL DE PESCADOS,S/N,MERCAMADRID,2,CHAdeMO,3,,
76,,,,,,,,,,,Dual_Mennekes,,,
77,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,198,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,CALLE 29,S/N,APARCAMIENTO,1,Other,2,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
